Exercise Name,Body Part,Equipment,Video ID,Video Title,Channel,Duration,Duration (seconds),Views,Score,Strategy Used,YouTube URL
spider crawl push up,upper legs,body weight,qB08VgogdIM,"Spider Crawl Exercise-get a CHISELED whole body from this FAST!!","Todd Kuslikis (Shot Of Adreanline)",0:31,31,18121,40,1-minute-tutorial,https://youtube.com/watch?v=qB08VgogdIM
inverted row bent knees,back,body weight,vqvxgFgsq_g,"Table inverted row bent knees","Health by Science",0:14,14,651,60,exact-phrase-demo,https://youtube.com/watch?v=vqvxgFgsq_g
inverted row,back,body weight,NWbA6gZQKHQ,"30-Second Fitness - How to Master Inverted Rows","3v",0:51,51,4796,90,30-second-demo,https://youtube.com/watch?v=NWbA6gZQKHQ
flexion leg sit up (straight arm),waist,body weight,Ia3EYoDaxdQ,"How to Keep or Rebuild SQUAT MOBILITY! 3 Solutions (Short)","The Kneesovertoesguy",1:00,60,1844927,40,1-minute-tutorial,https://youtube.com/watch?v=Ia3EYoDaxdQ
hanging straight twisting leg hip raise,waist,body weight,sZI8EWcGXIw,"How to Reset your Pelvis","Dr. Christiana Marron",0:33,33,18540915,50,1-minute-tutorial,https://youtube.com/watch?v=sZI8EWcGXIw
incline close-grip push-up,upper arms,body weight,-UIIKONpZQE,"Pushup Progression Part 2 - Incline Pushup - Symmetry Physical Therapy","Symmetry Physical Therapy",1:00,60,82,60,quick-technique,https://youtube.com/watch?v=-UIIKONpZQE
cocoons,waist,body weight,dEFkFkbbWic,"MY COCOONS | TRY ON + REVIEW | Best Hot Cold Compression Recovery Gear 2021?!","COCOON GEAR",1:31,91,645,80,1-minute-tutorial,https://youtube.com/watch?v=dEFkFkbbWic
iron cross stretch,upper legs,body weight,DhjxxqFS46Q,"One Minute Wellness - Iron Cross Stretch","Amherst Family Chiropractic Wellness Center",1:52,112,364,80,1-minute-tutorial,https://youtube.com/watch?v=DhjxxqFS46Q
clock push-up,chest,body weight,cw4Pfynd0fo,"Clock Push-ups | Exercise Demo | Male","Exercise Library dot com",0:16,16,2,60,exact-phrase-demo,https://youtube.com/watch?v=cw4Pfynd0fo
kneeling push-up (male),chest,body weight,zVnlzUV7a2w,"Kneeling Push Up Exercise","Advantage Physiotherapy Ltd",1:29,89,20158,40,exact-phrase-demo,https://youtube.com/watch?v=zVnlzUV7a2w
