Exercise Name,Body Part,Equipment,Category,Is Complex,Reasons
"3/4 sit-up","waist","body weight","UNCLEAR","false",""
"45° side bend","waist","body weight","REHAB/PREHAB","false","Contains: side bend"
"air bike","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: air bike"
"alternate heel touchers","waist","body weight","UNCLEAR","false",""
"balance board","upper legs","body weight","UNCLEAR","false",""
"bench dip (knees bent)","upper arms","body weight","UNCLEAR","false",""
"bench hip extension","upper legs","body weight","UNCLEAR","false",""
"body-up","upper arms","body weight","UNCLEAR","false",""
"bottoms-up","waist","body weight","UNCLEAR","false",""
"chest dip","chest","body weight","UNCLEAR","false",""
"circles knee stretch","lower legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"clock push-up","chest","body weight","FITNESS/HYPERTROPHY","false","Contains: clock push"
"close-grip push-up","upper arms","body weight","UNCLEAR","false",""
"cocoons","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: cocoons"
"cross body crunch","waist","body weight","UNCLEAR","false",""
"crunch (hands overhead)","waist","body weight","UNCLEAR","false",""
"crunch floor","waist","body weight","UNCLEAR","false",""
"dead bug","waist","body weight","REHAB/PREHAB","false","Contains: dead bug"
"decline crunch","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: decline"
"decline push-up","chest","body weight","FITNESS/HYPERTROPHY","false","Contains: decline"
"decline sit-up","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: decline"
"diamond push-up","upper arms","body weight","UNCLEAR","false",""
"donkey calf raise","lower legs","body weight","REHAB/PREHAB","false","Contains: calf raise"
"elbow-to-knee","waist","body weight","UNCLEAR","false",""
"flexion leg sit up (bent knee)","waist","body weight","UNCLEAR","true","Complex name: (bent knee)"
"flexion leg sit up (straight arm)","waist","body weight","UNCLEAR","true","Complex name: (straight arm)"
"flutter kicks","upper legs","body weight","FITNESS/HYPERTROPHY","false","Contains: flutter kick"
"front plank with twist","waist","body weight","UNCLEAR","false",""
"gironda sternum chin","back","body weight","FITNESS/HYPERTROPHY","false","Contains: gironda"
"gorilla chin","waist","body weight","UNCLEAR","false",""
"groin crunch","waist","body weight","FITNESS/HYPERTROPHY","false","Contains: groin crunch"
"hanging leg raise","waist","body weight","UNCLEAR","false",""
"hanging pike","waist","body weight","UNCLEAR","false",""
"hanging straight leg hip raise","waist","body weight","UNCLEAR","false",""
"hanging straight leg raise","waist","body weight","UNCLEAR","false",""
"hanging straight twisting leg hip raise","waist","body weight","UNCLEAR","true","Complex name: straight twisting"
"hip raise (bent knee)","waist","body weight","UNCLEAR","true","Complex name: (bent knee)"
"hyperextension (on bench)","back","body weight","UNCLEAR","true","Complex name: (on bench)"
"hyperextension","back","body weight","UNCLEAR","false",""
"incline close-grip push-up","upper arms","body weight","FITNESS/HYPERTROPHY","false","Contains: incline close-grip"
"incline leg hip raise (leg straight)","waist","body weight","UNCLEAR","true","Complex name: too many words"
"incline push-up","chest","body weight","UNCLEAR","false",""
"incline reverse grip push-up","chest","body weight","UNCLEAR","false",""
"incline twisting sit-up","waist","body weight","UNCLEAR","false",""
"inverse leg curl (bench support)","upper legs","body weight","UNCLEAR","false",""
"inverted row v. 2","back","body weight","UNCLEAR","true","Complex name: v. 2"
"inverted row with straps","back","body weight","UNCLEAR","false",""
"inverted row","back","body weight","UNCLEAR","false",""
"isometric wipers","chest","body weight","UNCLEAR","false",""
"jackknife sit-up","waist","body weight","UNCLEAR","false",""
"janda sit-up","waist","body weight","UNCLEAR","false",""
"kick out sit","upper legs","body weight","UNCLEAR","false",""
"leg pull in flat bench","waist","body weight","UNCLEAR","false",""
"lying (side) quads stretch","upper legs","body weight","REHAB/PREHAB","false","Contains: stretch"
"lying leg raise flat bench","waist","body weight","UNCLEAR","false",""
"march sit (wall)","upper legs","body weight","UNCLEAR","false",""
"mountain climber","cardio","body weight","UNCLEAR","false",""
"negative crunch","waist","body weight","UNCLEAR","false",""
"oblique crunches floor","waist","body weight","UNCLEAR","false",""
"outside leg kick push-up","upper legs","body weight","UNCLEAR","false",""
"overhead triceps stretch","upper arms","body weight","REHAB/PREHAB","false","Contains: stretch"
"pull up (neutral grip)","back","body weight","FITNESS/HYPERTROPHY","false","Contains: pull up"
"push-up (wall) v. 2","chest","body weight","UNCLEAR","true","Complex name: v. 2"
"push-up (wall)","chest","body weight","UNCLEAR","false",""
"push-up inside leg kick","upper legs","body weight","UNCLEAR","false",""
"push-up","chest","body weight","UNCLEAR","false",""
"push-up to side plank","waist","body weight","UNCLEAR","false",""
"raise single arm push-up","chest","body weight","UNCLEAR","false",""
"rear decline bridge","upper legs","body weight","REHAB/PREHAB","false","Contains: decline | Contains: bridge"
"rear deltoid stretch","shoulders","body weight","REHAB/PREHAB","false","Contains: stretch"
"reverse dip","upper arms","body weight","UNCLEAR","false",""
"ring dips","upper arms","body weight","UNCLEAR","false",""
"run (equipment)","cardio","body weight","UNCLEAR","false",""
"run","cardio","body weight","UNCLEAR","false",""
"russian twist","waist","body weight","UNCLEAR","false",""
"seated leg raise","waist","body weight","UNCLEAR","false",""
"seated lower back stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"seated side crunch (wall)","waist","body weight","UNCLEAR","false",""
"self assisted inverse leg curl (on floor)","upper legs","body weight","UNCLEAR","true","Complex name: too many words"
"self assisted inverse leg curl","upper legs","body weight","UNCLEAR","false",""
"shoulder tap push-up","chest","body weight","UNCLEAR","false",""
"side bridge v. 2","waist","body weight","REHAB/PREHAB","true","Contains: bridge | Complex name: v. 2"
"side hip (on parallel bars)","waist","body weight","UNCLEAR","false",""
"side hip abduction","upper legs","body weight","UNCLEAR","false",""
"side push neck stretch","neck","body weight","REHAB/PREHAB","false","Contains: stretch, neck"
"side push-up","upper arms","body weight","UNCLEAR","false",""
"side-to-side chin","back","body weight","UNCLEAR","false",""
"side wrist pull stretch","lower arms","body weight","REHAB/PREHAB","false","Contains: stretch"
"single arm push-up","chest","body weight","UNCLEAR","false",""
"single leg platform slide","upper legs","body weight","UNCLEAR","false",""
"sit-up v. 2","waist","body weight","UNCLEAR","true","Complex name: v. 2"
"spider crawl push up","upper legs","body weight","FITNESS/HYPERTROPHY","false","Contains: spider crawl"
"standing lateral stretch","back","body weight","REHAB/PREHAB","false","Contains: stretch"
"standing single leg curl","upper legs","body weight","UNCLEAR","false",""
"superman push-up","chest","body weight","UNCLEAR","false",""
"suspended abdominal fallout","waist","body weight","UNCLEAR","false",""
